Layer,k[0],k[1:]
0,7617780.237044779,"[5655886.333449787, 3990274.657484837, 3321155.523455482, 2940663.340920262, 2691820.0289160945, 2516166.583374396, 2386231.4592868686, 2287179.899126541, 2210214.0819541514, 2149750.8486491963, 2102061.0043828785, 2064552.337627992, 2035364.932208009, 2013129.8458011746, 1996818.5891875625, 1985645.6576156244, 1979003.3863143176, 1976417.2181916162, 1977514.2667049542, 1982000.7763477862, 1989645.6826276109, 2000268.4445690885, 2013729.929329373, 2029925.517009735, 2048779.8482921422, 2070242.8077759296, 2094286.4519323707, 2120902.671092272, 2150101.431653872, 2181909.4853854775, 2216369.4623225033, 2253539.2856820524, 2293491.8637295663, 2336315.0262097567, 2382111.68290624, 2431000.1899192333, 2483114.91591835, 2538607.006379053, 2597645.3489648104, 2660417.748052582, 2727132.321115315, 2798019.1344880313, 2873332.101112038, 2953351.1683693677, 3038384.830263689, 3128773.00518243, 3224890.3285227716, 3327149.9188476503, 3436007.68728894, 3551967.2730213255, 3675585.7032784373, 3807479.8951656222, 3948334.1391844153, 4098908.7318522036, 4260049.958248675, 4432701.666223288, 4617918.724257916, 4816882.716997772, 5030920.309360385, 5261524.805927694, 5510381.55225718, 5779397.975667149, 6070739.253988624, 6386870.843689203, 6730609.409636736, 7105184.0990225375, 7514310.620648652, 7962281.267499864, 8454074.90973869, 8995492.162507445, 9593322.503919244, 10255552.232719123, 10991625.025449812, 11812770.787044168, 12732423.93511635, 13766759.87917602, 14935389.242081821, 16262264.824248493, 17776878.742399633, 19515860.196241796, 21525133.670871496, 23862872.367509663, 26603597.62389481, 29843957.942644656, 33711015.73003399, 38374355.22794366, 44064145.84968996, 51098722.73009479, 59927809.02510977, 71202270.33444595, 85890515.0805788, 105480333.70834517, 132344821.40842581, 170441356.8984685, 226732446.0023036, 314299720.0734906, 459833851.97599363, 723903159.8614187, 1264959170.687522]"
1,7735221.031918222,"[5743914.211527182, 4053395.334138084, 3374521.058431931, 2988657.7613479905, 2736444.474877171, 2558537.4712613933, 2427050.9863699675, 2326927.6302900948, 2249238.358868502, 2188317.4222934544, 2140381.0758309066, 2102799.767336048, 2073687.3479376063, 2051656.1212169603, 2035664.0660056695, 2024915.912992835, 2018797.0338897482, 2016828.051389031, 2018632.9456445128, 2023916.1935768202, 2032446.1009130925, 2044042.4727044106, 2058567.3837879077, 2075918.205043748, 2096022.2997043282, 2118832.976823598, 2144326.406847924, 2172499.2859886438, 2203367.09378542, 2236962.82962054, 2273336.144095823, 2312552.8035390824, 2354694.4427790493, 2399858.574331224, 2448158.8324000537, 2499725.438431591, 2554705.8819444627, 2613265.8164588064, 2675590.175892517, 2741884.5220574588, 2812376.639124736, 2887318.396324903, 2966987.9059242606, 3051692.0098659396, 3141769.1356033683, 3237592.569830194, 3339574.2082968056, 3448168.85103783, 3563879.125506893, 3687261.1358194053, 3818930.9551297426, 3959572.100866109, 4109944.160047084, 4270892.765373021, 4443361.16371122, 4628403.6688709855, 4827201.352594376, 5041080.404601157, 5271533.688328832, 5520246.138946921, 5789124.801154941, 6080334.495209366, 6396340.342549354, 6739958.693251729, 7114418.3978028, 7523434.884359956, 7971300.179394275, 8462992.898820609, 9004313.41396892, 9602050.967744827, 10264191.630422622, 11000178.854863524, 11821242.32502985, 12740816.238007367, 13775075.780683815, 14943631.348305225, 16270435.505301893, 17784980.12001568, 19523894.126493752, 21533101.720873177, 23870775.784565926, 26611437.29503542, 29851734.341724634, 33718728.84851259, 38382004.48390323, 44071729.9673779, 51106239.57885778, 59935255.401353955, 71209641.66209197, 85897804.99237192, 105487533.44883442, 132351918.96291625, 170448335.6884079, 226739282.8720188, 314306382.0763838, 459840291.0469382, 723909303.6213403, 1264964905.9620152]"
2,7855702.215459927,"[5834242.957578204, 4118192.812105207, 3429326.5054716393, 3037967.333795253, 2782310.71813184, 2602105.7447480373, 2469041.9688519016, 2367833.7882260047, 2289417.6837997288, 2228043.302979827, 2179871.0556236655, 2142233.1956184283, 2113216.7761510164, 2091414.9784037992, 2075772.0216740295, 2065482.749419935, 2059925.5287564173, 2058616.1872855872, 2061175.6530278102, 2067306.765961893, 2076777.378075391, 2089407.8597118184, 2105061.7551354095, 2123638.7306493, 2145069.2209824324, 2169310.355183646, 2196342.8629363626, 2226168.745270744, 2258809.5522870272, 2294305.152584046, 2332712.909798369, 2374107.2044648826, 2418579.2566744983, 2466237.2183654457, 2517206.5146863014, 2571630.422549218, 2629670.881846443, 2691509.541303709, 2757349.0469349623, 2827414.5868531317, 2901955.712020159, 2981248.45862709, 3065597.80440633, 3155340.498521313, 3250848.313020706, 3352531.7734582424, 3460844.4375202656, 3576287.8037572503, 3699416.9482887834, 3830847.0062316954, 3971260.63734442, 4121416.6429162025, 4282159.934430748, 4454433.095485598, 4639289.8287425935, 4837910.641737342, 5051621.202296913, 5281913.890133262, 5530473.191126525, 5799205.731749445, 6090275.942029476, 6406148.578372508, 6749639.648438573, 7123977.680519283, 7532877.798555344, 7980631.740651101, 8472217.848159283, 9013436.229655474, 9611075.875113368, 10273122.609685004, 11009019.646832585, 11829996.434630454, 12749486.93538487, 13783666.099642098, 14952144.081706405, 16278873.196933806, 17793345.05226797, 19532188.30296272, 21541326.84272468, 23878933.21908045, 26619528.034210443, 29859758.948029637, 33726687.38378918, 38389896.415805876, 44079554.04539883, 51113993.6684562, 59942936.25931978, 71217244.62784314, 85905323.5563767, 105494958.63712573, 132359238.43902028, 170455532.408175, 226746333.0077076, 314313251.7027738, 459846930.6477785, 723915638.6075077, 1264970819.6768079]"
3,7979334.82342858,"[5926957.417190232, 4184729.935414305, 3485626.6751017384, 3088642.894191835, 2829467.497275453, 2646919.119340595, 2512251.8023861498, 2409945.9566654116, 2330800.2250874937, 2268977.573642291, 2220581.230873458, 2182904.3793165386, 2154006.6958620623, 2132461.8656243607, 2117200.1212344915, 2107406.3013432994, 2102451.7364050224, 2101847.496567659, 2105211.5546776205, 2112245.2633971274, 2122716.2192522287, 2136445.602758765, 2153298.7185556367, 2173177.866088018, 2196016.937839374, 2221777.3203803897, 2250444.7950769365, 2282027.219710231, 2316552.8318781257, 2354069.0578740835, 2394641.742034301, 2438354.7348338515, 2485309.7957023233, 2535626.780277148, 2589444.0928026587, 2646919.3934500217, 2708230.5581161827, 2773576.895218, 2843180.6305244267, 2917288.6774638593, 2996174.716886714, 3080141.617215246, 3169524.23352018, 3264692.6326167434, 3366055.8010514528, 3474065.9042244554, 3589223.1782527417, 3712081.5520379245, 3843255.115951389, 3983425.576348722, 4133350.862708032, 4293875.087723315, 4465940.101667613, 4650598.932660729, 4849031.466547966, 5062562.797037542, 5292684.772574395, 5541081.3863886595, 5809658.807103366, 6100581.038239539, 6416312.437889516, 6759668.640703708, 7133877.824596554, 7542654.783271104, 7990290.942380488, 8481764.346363425, 9022874.820233881, 9620411.08159849, 10282358.692261457, 11018160.609116465, 11839046.028087556, 12758448.661200464, 13792543.207772493, 14960939.566739619, 16287589.790255547, 17801985.209857702, 19540754.18791747, 21549820.30130565, 23887355.748661935, 26627880.74094081, 29868042.49121183, 33734901.902849495, 38398041.43407023, 44087628.342473865, 51121995.1093719, 59950861.56303692, 71225089.04902482, 85913080.44039607, 105502618.78535414, 132366789.18260956, 170462956.22064495, 226753605.36375213, 314320337.6601076, 459853779.18068695, 723922172.8265729, 1264976919.2993798]"
4,8106235.148017913,"[6022146.492042238, 4253072.601610888, 3543479.08264146, 3140737.8257310204, 2877966.0303286053, 2693027.7747161947, 2556730.367202878, 2453314.2512680218, 2373436.752528399, 2311172.0077335685, 2262564.686424643, 2224867.9978052005, 2196113.651011057, 2174855.4564890936, 2160009.4343149513, 2150750.30694703, 2146442.3465145826, 2146591.917529024, 2150814.152371809, 2158809.0872741416, 2170344.286415927, 2185242.013941206, 2203369.6583787873, 2224632.5269307345, 2248968.3977355957, 2276343.399309084, 2306748.909897968, 2340199.255281031, 2376730.044192657, 2416397.024147004, 2459275.372353852, 2505459.360228613, 2555062.3481441885, 2608217.08125782, 2665076.268660009, 2725813.4376148432, 2790624.0629219115, 2859726.978939995, 2933366.0889538676, 3011812.3936846405, 3095366.368136823, 3184360.7239304036, 3279163.6030868143, 3380182.259231448, 3487867.293715507, 3602717.527656749, 3725285.606862664, 3856184.455637276, 3996094.7183410227, 4145773.355212331, 4306063.5925439, 4477906.468327194, 4662354.264830291, 4860586.181671798, 5073926.679915458, 5303867.023559183, 5552090.664765298, 5820503.2701385915, 6111268.376321584, 6426849.906118065, 6770063.0872347355, 7144135.715999186, 7552782.227107435, 8000293.707176954, 8491647.87910074, 9032644.261441588, 9630071.278096199, 10291914.207543522, 11027615.731325358, 11848404.775461853, 12767714.784813106, 13801720.191289186, 14970030.622821689, 16296597.853091478, 17810912.92313409, 19549603.887303412, 21558593.990210235, 23896055.065599024, 26636506.916242123, 29876596.290005982, 33743383.550044, 38406450.51537824, 44095963.6730175, 51130254.557650924, 59959041.81230593, 71233185.26915443, 85921085.82891273, 105510523.91270137, 132374581.03660452, 170470616.77504086, 226761109.36901426, 314327649.11657953, 459860845.4919236, 723928914.7080026, 1264983212.69131]"
5,8236525.044628287,"[6119903.378982022, 4323289.944693534, 3602944.1127759926, 3194308.21623569, 2927860.170231197, 2740484.511583749, 2602530.188628014, 2497991.485628918, 2417380.810463734, 2354681.2508766055, 2305877.4965240434, 2268181.8561558053, 2239597.466658056, 2218657.880812153, 2204264.682403907, 2195582.373756297, 2191968.15897765, 2192923.7648245245, 2198061.6178784966, 2207080.6326388344, 2219748.5918167382, 2235889.14855361, 2255372.1351474375, 2278106.282378629, 2304033.7284768075, 2333125.880778387, 2365380.3186709434, 2400818.5136654824, 2439484.2041382045, 2481442.3067034036, 2526778.2787513286, 2575597.87105, 2628027.227963418, 2684213.307499692, 2744324.605309248, 2808552.176781133, 2877110.9602198154, 2950241.4122241735, 3028211.474269569, 3111318.8974705935, 3199893.960906774, 3294302.628065586, 3394950.1962240636, 3502285.5053480417, 3616805.7867548615, 3739062.247886896, 3869666.508689642, 4009298.028044343, 4158712.686416447, 4318752.724521995, 4490358.278882861, 4674580.805531442, 4872598.745254934, 5085735.860757202, 5315482.771987051, 5563522.335872203, 5831759.66767323, 6122357.792146385, 6437780.155655414, 6780841.541259855, 7154769.329081267, 7563277.5629493, 8010656.961055011, 8501884.89756018, 9042760.559356838, 9640072.053158462, 10301804.35218829, 11037399.84205702, 11858087.159470081, 12777299.463701904, 13811210.901649892, 14979430.813267827, 16305910.677235246, 17820141.227794707, 19558750.195000887, 21567660.47466755, 23905043.518538535, 26645418.703148663, 29885432.291677177, 33752144.085534275, 38415135.24018282, 44104571.44376576, 51138783.250700116, 59967488.07770622, 71241544.19219315, 85929350.45660663, 105518684.57818818, 132382624.37303162, 170478524.23823094, 226768854.95730495, 314335195.7306671, 459868138.9002695, 723935873.1311235, 1264989708.1334581]"
6,8370332.259992551,"[6220325.825905221, 4395454.531121781, 3664085.1960747056, 3249413.02711647, 2979206.571967475, 2789344.920450162, 2649706.6099667884, 2544033.350260593, 2462688.9045923054, 2399563.017132178, 2350578.9321359843, 2312907.1051232517, 2284521.483339414, 2263934.9751433805, 2250034.5075071678, 2241974.2675428987, 2239104.395386584, 2240922.0661108047, 2247037.157608457, 2257147.6840346307, 2271021.9285692647, 2288485.274398178, 2309410.3981169015, 2333709.9159838557, 2361330.852829993, 2392250.490434006, 2426473.279807657, 2464028.590571046, 2504969.1334100664, 2549369.936888218, 2597327.793154657, 2648961.1120635867, 2704410.142422363, 2763837.534291595, 2827429.2287118137, 2895395.6718612313, 2967973.360134542, 3045426.7315254956, 3128050.4274463803, 3216171.9581146985, 3310154.8142662346, 3410402.0785787255, 3517360.6022248566, 3631525.825861439, 3753447.340636149, 3883735.304079145, 4023067.8488138914, 4172199.64982149, 4331971.849708229, 4503323.582550198, 4687305.387330383, 4885094.864148438, 5098015.003406823, 5327555.714071453, 5575399.197119415, 5843449.9612779915, 6133870.469148815, 6449123.644774616, 6792023.784603119, 7165797.814083695, 7574159.350839913, 8021398.712089956, 8512492.893212348, 9053240.72159782, 9650429.960920453, 10312045.255036086, 11047528.67104286, 11868108.535077095, 12787217.700703204, 13821030.01061672, 14989154.498343468, 16315542.32964313, 17829683.91435945, 19568206.640706897, 21577033.037947416, 23914334.15752232, 26654628.930478036, 29894563.114604354, 33761195.92677224, 38424107.83315861, 44113463.69326043, 51147593.04586244, 59976212.038307786, 71250177.31943202, 85937885.64443982, 105527111.91596878, 132390930.12752163, 170486689.32839513, 226776852.60015917, 314342987.68290067, 459875669.2276044, 723943057.4541969, 1264996414.3530493]"
7,8507790.78337808,"[6323516.405818293, 4469642.569985403, 3726968.9984593503, 3306114.274921242, 3032064.8723323345, 2839667.563345544, 2698317.978860937, 2591498.6057296246, 2509420.7037774175, 2445878.301249735, 2396731.685388878, 2359108.4795787334, 2330952.8113624007, 2310756.5549275354, 2297391.7643377706, 2290002.2269110754, 2287931.0386158675, 2290670.929504499, 2297829.4111467227, 2309103.8486752957, 2324263.3424591124, 2343135.386704758, 2365595.9483270794, 2391562.042556733, 2420986.1656854153, 2453852.135448247, 2490172.0193285644, 2529983.921360135, 2573350.4619758874, 2620357.8316376656, 2671115.333005607, 2725755.3520303816, 2784433.7181740105, 2847330.4297702312, 2914650.733626142, 2986626.5592805445, 3063518.318592444, 3145617.0911162496, 3233247.2255017012, 3326769.3973890245, 3426584.1753591, 3533136.15889588, 3646918.7664886117, 3768479.768501207, 3898427.6788965166, 4037439.143113613, 4186267.4873076677, 4345752.627968192, 4516832.5821307, 4700556.868895501, 4898102.155183405, 5110790.575719327, 5340111.253163129, 5587745.664347291, 5855597.6495961845, 6145829.053106844, 6460902.225352764, 6803630.929378599, 7177241.593146026, 7585447.36880514, 8032538.136500716, 8523490.479551315, 9064102.835086018, 9661162.59521246, 10322654.047867537, 11058018.91682008, 11878485.194327712, 12797485.406224191, 13831193.070057094, 14999216.892836332, 16325507.707948685, 17839555.581781864, 19577987.541786492, 21586725.73158163, 23923940.782697618, 26664151.16013992, 29904002.094284832, 33770552.19329363, 38433381.20686215, 44122653.13444936, 51156696.462019086, 59985226.02232933, 71259096.78924537, 85946703.33853531, 105535817.67334843, 132399509.83645844, 170495123.35127735, 226785113.34211922, 314351035.71005964, 459883446.83180976, 723950477.5457153, 1265003340.552815]"
8,8649041.222761689,"[6429582.81059036, 4545934.138521349, 3791665.624734137, 3364477.226565551, 3086497.8834538795, 2891514.1696665846, 2748425.8483408988, 2640449.291253522, 2557639.258247666, 2493691.608417332, 2444402.1128014848, 2406854.557187639, 2378962.6070120186, 2359196.710463427, 2346413.8384374604, 2339747.3062177673, 2338533.2034495026, 2342259.9451379552, 2350532.8873240873, 2363049.0310412794, 2379578.6495574936, 2399951.7738143057, 2424048.1580486, 2451789.7878029495, 2483135.281165257, 2518075.7273580134, 2556631.638819352, 2598850.7848237753, 2644806.7398784757, 2694598.0272866637, 2748347.7730929404, 2806203.811979294, 2868339.2071758807, 2934953.1629537046, 3006272.3220798373, 3082552.452733621, 3164080.5405524224, 3251177.3123069704, 3344200.228737429, 3443546.995781645, 3549659.6562990993, 3663029.338931635, 3784201.7575296015, 3913783.574260503, 4052449.762906611, 4200952.136913002, 4360129.240668625, 4530917.843794495, 4714366.328786612, 4911650.324637324, 5124091.016170502, 5353176.654793143, 5600587.916440964, 5868227.90353632, 6158257.778805256, 6473139.261799723, 6815685.529891938, 7189122.465813249, 7597162.712531775, 8044095.673006415, 8534897.481587708, 9075366.15108642, 9672288.670519114, 10333648.9426184, 11068888.320506305, 11889234.436958075, 12808119.465943336, 13841716.57696098, 15009634.128600657, 16335822.600723743, 17849771.695602953, 19588108.05947715, 21596753.429766297, 23933877.99704981, 26673999.738321602, 29913763.33308357, 33780226.75513011, 38442969.00889915, 44132153.20068753, 51166106.72449553, 59994543.05100644, 71268315.41997111, 85955816.1521008, 105544814.25176704, 132408375.67701948, 170503838.23924565, 226793648.83874798, 314359351.1420045, 459891482.64221525, 723958143.8181005, 1265010496.4423752]"
9,8794231.208046613,"[6538638.166034743, 4624413.424290972, 3858248.8373897225, 3424570.6094465367, 3142571.801298987, 2944949.8474139646, 2800095.193925038, 2690950.9501973093, 2607411.2357425317, 2543071.203191027, 2493660.499117568, 2456218.0393334404, 2428626.372867681, 2409334.1290849224, 2397182.9929065406, 2391295.749797933, 2391001.5415539965, 2395784.6244927794, 2405248.441941373, 2419089.953505911, 2437081.004814893, 2459054.6394468397, 2484894.9531639963, 2514529.5381082296, 2547923.8580782562, 2585077.0925857425, 2626019.121723011, 2670808.417462915, 2719530.6734871566, 2772298.0538153946, 2829248.976211995, 2890548.373485893, 2956388.3970690668, 3026989.5445429534, 3102602.2074414045, 3183508.648719743, 3270025.431521967, 3362506.3329758793, 3461345.789258525, 3566982.931668848, 3679906.2884625047, 3800659.2443663627, 3929846.3696711212, 4068140.7544205785, 4216292.511454254, 4375138.646126986, 4545614.531936556, 4728767.281958908, 4925771.368341237, 5137946.919277698, 5366781.218908906, 5613954.055702686, 5881367.715947211, 6171182.610045552, 6485859.762318045, 6828211.705964297, 7201463.7251493335, 7609327.9049191475, 8056093.126397669, 8546735.033959687, 9087051.178327948, 9683828.110531986, 10345049.315745533, 11080155.746324688, 11900374.64739263, 12819137.814563036, 13852618.044208944, 15020423.322575629, 16346503.752962172, 17860348.651095808, 19598584.2598747, 21607131.888350487, 23944161.263545394, 26684189.850919962, 29923861.75407952, 33790234.28518188, 38452885.672923565, 44141978.09545457, 51175837.81357396, 60004176.88596749, 71277846.75620091, 85965237.41067278, 105554114.75101686, 132417540.51036215, 170512846.59341812, 226802471.39761186, 314367945.94138885, 459899788.19780254, 723966067.2640285, 1265017892.2720613]"
10,8943515.823578611,"[6650801.370135482, 4705168.985446747, 3926796.2920186147, 3486466.837762881, 3200356.4305114225, 3000043.311236199, 2853394.648255758, 2743072.8740649223, 2658807.177322395, 2594089.3794672415, 2544581.343781695, 2507276.0565150827, 2480024.2846795917, 2461252.4462665915, 2449786.74673716, 2444739.400818914, 2445432.6844998673, 2451346.881646037, 2462083.801774174, 2477340.728183165, 2496891.527474776, 2520572.788133636, 2548273.565921128, 2579927.768889144, 2615508.5132732242, 2655023.9815087616, 2698514.4503499568, 2746050.2524260283, 2797730.5023935735, 2853682.468126565, 2914061.50403361, 2979051.4916178435, 3048865.7545261234, 3123748.4335231334, 3203976.3224712014, 3289861.180562347, 3381752.549580887, 3480041.118573755, 3585162.6926250905, 3697602.838082522, 3817902.2942355126, 3946663.26180619, 4084556.702531755, 4232330.812591076, 4390820.866879344, 4560960.672691911, 4743795.922164053, 4940499.795261532, 5152391.242365152, 5380956.471575439, 5627874.286027342, 5895046.067621946, 6184631.3946729, 6499090.524011612, 6841235.279061019, 7214290.285721183, 7621967.016662806, 8068553.781385183, 8559025.688643277, 9099179.785110235, 9695802.145134151, 10356875.800523639, 11091841.26960501, 11911925.378804624, 12830559.516251624, 13863916.077687025, 15031602.650839388, 16357568.937315166, 17871303.841902256, 19609433.18017268, 21617877.808864176, 23954806.967113495, 26694737.583631694, 29934313.159401655, 33800590.31592667, 38463146.4738332, 44152142.84613562, 51185904.516949534, 60014142.080438375, 71287705.11879528, 85974981.20098555, 105563733.01698947, 132427017.92824817, 170522161.72912598, 226811594.0225098, 314376832.74650145, 459908375.6884184, 723974259.4956126, 1265025538.869399]"
11,9097058.072451005,"[6766197.456390513, 4788294.030665051, 3997389.790811591, 3550242.256494973, 3259925.4270759895, 3056867.1288353577, 2908396.7549235, 2796888.3667532206, 2711901.774748884, 2646822.753569603, 2597243.672319144, 2560110.500700198, 2533241.5475377887, 2515040.6286779717, 2504318.2881014645, 2500176.1484927014, 2501929.7289915234, 2509055.561080739, 2521154.1400729045, 2537923.4858605415, 2559139.989909351, 2584644.3812732548, 2614331.366498053, 2648141.9610837996, 2686057.8337781727, 2728097.1884799898, 2774311.847774714, 2824785.2993194163, 2879631.535564482, 2938994.5677559227, 3003048.5328623652, 3071998.3410709947, 3146080.8346196264, 3225566.4479638785, 3310761.3760757744, 3402010.273155555, 3499699.51909858, 3604261.106480643, 3716177.2173175216, 3835985.5771496147, 3964285.6948614568, 4101746.120951444, 4249112.885742277, 4407219.313515544, 4576997.450296283, 4759491.393953443, 4955872.87784794, 5167459.536607176, 5395736.378765225, 5642381.111235201, 5909294.111749649, 6198634.036536276, 6512860.293578625, 6854783.922803104, 7227628.82489118, 7635105.799185395, 8081502.5279331505, 8571793.533370882, 9111775.311420143, 9708233.41676426, 10369150.388151824, 11103966.273078144, 11923907.445002198, 12842404.852485657, 13875630.460416138, 15043191.429325938, 16369037.031668901, 17882655.734721243, 19620672.90068704, 21629008.908085346, 23965832.481945634, 26705659.98715532, 29945134.293491483, 33811311.30088228, 38473767.587559104, 44162663.362252235, 51196322.48650122, 60024454.03463864, 71297905.65897179, 85985062.4238013, 105573683.69327617, 132436822.3034153, 170531797.72502637, 226821030.4612372, 314386024.91752887, 459917257.99927545, 723982732.7867031, 1265033447.6784883]"
12,9255029.375314375,"[6884957.984450409, 4873886.720477391, 4070115.5557515174, 3615977.4046546817, 3321356.560453359, 3115497.987458423, 2965178.2433074713, 2852475.031027779, 2766774.1715546474, 2701352.5827556774, 2651731.3751409724, 2614808.3874032795, 2588368.7843917385, 2570793.392569259, 2560876.9263534695, 2557710.417834878, 2560602.7689846605, 2569027.0173023343, 2582582.7094476596, 2600969.068644494, 2623965.577361211, 2651417.7722743303, 2683226.7829776704, 2719341.6166924536, 2759753.5001505464, 2804491.7969916016, 2853621.1608585566, 2907239.6835246533, 2965477.8681758344, 3028498.3097188473, 3096496.0028303415, 3169699.228569627, 3248370.994632229, 3332811.0247653425, 3423358.3110304177, 3520394.2596450895, 3624346.478044212, 3735693.2684155703, 3854968.912113622, 3982769.8508706093, 4119761.895534426, 4266688.622232884, 4424381.150663912, 4593769.541198045, 4775896.098610282, 4971930.932978362, 5183190.20575431, 5411157.585274458, 5657509.556280702, 5924145.379258245, 6213222.686581016, 6527199.945578635, 6868887.329665571, 7241507.939060539, 7648771.831412703, 8094965.999447793, 8585064.322017819, 9124862.692216992, 9721146.097230047, 10381896.538659811, 11116553.552384496, 11936343.02099657, 12854695.41809249, 13887782.244445086, 15055210.20190835, 16380928.103727102, 17894423.950670898, 19632322.623254895, 21640543.993707478, 23977256.244644165, 26716975.148014605, 29956342.911774397, 33822414.68128657, 38484766.155896485, 44173556.49857175, 51207108.29978907, 60035129.05576205, 71308464.41684878, 85995496.85107362, 105583982.27698457, 132446968.84405267, 170541769.47619605, 226830795.2572155, 314395536.5865574, 459926448.75903654, 723991500.1185889, 1265041630.8025508]"
