Layer,k[0],k[1:]
13,9417610.106682375,"[7007221.460441625, 4962050.491903631, 4145064.523291979, 3683757.2995757237, 3384731.9970070533, 3176016.9823827855, 3023820.326459922, 2909915.079397969, 2823508.290159598, 2757765.1117116213, 2708133.5765864626, 2671462.2505861595, 2645502.460340373, 2628611.661282651, 2619568.586966634, 2617453.706681095, 2621569.479963511, 2631385.7521799505, 2646501.5387938917, 2666617.7938297987, 2691517.7270816416, 2721052.4304101914, 2755130.3206676394, 2793709.385819465, 2836791.5352562517, 2884418.566246122, 2936669.4030573666, 2993658.3664729446, 3055534.30385606, 3122480.4630631804, 3194715.0336247087, 3272492.309976712, 3356104.457079947, 3445883.8806385696, 3542206.2239023447, 3645494.031967148, 3756221.1436143667, 3874917.891022682, 4002177.2100681514, 4138661.7894074023, 4285112.41622287, 4442357.711709917, 4611325.4916859865, 4793056.039080024, 4988717.637975603, 5199624.796507359, 5427259.682291985, 5673297.414485216, 5939636.007866919, 6228431.955609411, 6542142.680559009, 6883577.395930976, 7255958.316740155, 7662994.682104945, 8108972.725383788, 8598865.618386805, 9138468.593202055, 9734566.016183227, 10395139.30273503, 11129627.431833625, 11949255.753217578, 12867454.226394176, 13900393.851347804, 15067680.836636007, 16393263.503338575, 17906629.354024112, 19644402.75666648, 21652503.046732187, 23989097.83381313, 26728702.265565276, 29967957.855280995, 33833918.95850998, 38496160.356870234, 44184840.12356603, 51218279.526735544, 60046184.42298722, 71319398.38487029, 86006301.18785429, 105594645.17916846, 132457473.65275764, 170552092.75158787, 226840903.80534935, 314405382.7116504, 459935962.39181924, 724000575.2294259, 1265050101.049941]"
14,9584990.172017235,"[7133133.789600946, 5052894.408492483, 4222332.662487421, 3753671.7442059815, 3450138.606739465, 3238509.929510724, 3084409.024285555, 2969295.6718131676, 2882193.187659256, 2816151.9498987272, 2766545.037347667, 2730170.5738449693, 2704745.346527733, 2688603.0661499426, 2680506.354154989, 2679525.175268516, 2684955.761330597, 2696265.11670132, 2713052.201802179, 2735020.2975147814, 2761957.0565202385, 2793719.964350596, 2830225.6932467967, 2871442.319463089, 2917383.6947698146, 2968105.4778226316, 3023702.4784927517, 3084307.0716315657, 3150088.5109363496, 3221253.028254837, 3298044.645222202, 3380746.6569128335, 3469683.774264291, 3565224.935580462, 3667786.8191245347, 3777838.109997615, 3895904.596329063, 4022575.1933509707, 4158509.020292267, 4304443.685390234, 4461204.970043063, 4629718.145834148, 4811021.209857643, 5006280.386938721, 5216808.325170457, 5444085.507726759, 5689785.524448484, 5955804.998113662, 6244299.151635438, 6557724.245674372, 6898888.427275121, 7271012.930601716, 7677806.0896986425, 8123553.300050288, 8613226.955020875, 9152621.560566097, 9748520.802630752, 10408905.455738962, 11143213.891590118, 11962670.880467176, 12880705.824464738, 13913489.1822716, 15080626.631012201, 16406065.963400602, 17919294.14909923, 19656935.009869754, 21664907.31128359, 24001378.05675417, 26740861.73581636, 29979999.131816328, 33845843.77277422, 38507969.48118198, 44196533.193751335, 51229854.80199742, 60057638.458001494, 71330725.57658541, 86017493.13940203, 105605689.79031122, 132468353.79041052, 170562784.2562549, 226851372.41250873, 314415579.1354029, 459945814.1734898, 724009972.6677318, 1265058871.9839363]"
15,9757369.629209964,"[7262848.764121333, 5146533.538083125, 4302021.318751462, 3825815.6595722884, 3517668.295570109, 3303067.7044212595, 3147035.514520079, 3030709.2828769237, 2942923.443212211, 2876610.482953772, 2827066.5937925503, 2791038.2617671043, 2766207.0279505476, 2750882.4955670536, 2743811.0665258914, 2744052.2943741605, 2750896.443635367, 2763808.0847209096, 2782386.6656090915, 2806338.4676514417, 2835456.391565174, 2869605.257884681, 2908711.080016628, 2952753.2643774003, 3001759.0181155354, 3055799.463947162, 3114987.112072423, 3179474.4448317736, 3249453.4458649755, 3325155.961899504, 3406854.8284599036, 3494865.7252303064, 3589549.7556440085, 3691316.770823553, 3800629.4820034206, 3918008.429491952, 4044037.9013432413, 4179372.9224549383, 4324747.466072291, 4480984.076093525, 4649005.13181442, 4829846.038860977, 5024670.693551391, 5234789.646008998, 5461681.484090954, 5707018.080895007, 5972694.500148714, 6260864.545223355, 6573983.180839419, 6914857.367722124, 7286707.250983059, 7693240.161901116, 8138740.569656074, 8628180.008904517, 9167352.186418563, 9763040.041045994, 10423223.645351976, 11157340.707615107, 11976615.366840422, 12894476.419647694, 13927093.738602817, 15094072.427308142, 16419359.71027404, 17932441.986183405, 19669942.49377346, 21677779.392628074, 24014119.044006944, 26753475.24276966, 29992488.004347622, 33858209.988815665, 38520214.015354335, 44208655.83449352, 51241853.903589845, 60069510.60158622, 71342465.1013037, 86029091.48399663, 105617134.55135548, 132479627.34543192, 170573861.69880843, 226862218.36308074, 314426142.6483867, 459956020.29265904, 724019707.8503351, 1265067957.9766765]"
16,9934959.358436853,"[7396528.589398555, 5243089.3608496, 4384237.585652057, 3900289.444820624, 3587418.365636315, 3369786.610490598, 3211796.5142954066, 3094254.1015849486, 3005799.5802990645, 2939244.321723163, 2889805.638128571, 2854177.1558183953, 2830004.460018672, 2815572.6976414174, 2809611.97180181, 2811171.5587796867, 2819536.0682630166, 2834168.107298568, 2854668.229317501, 2880746.477567926, 2912201.907385692, 2948907.73215051, 2990800.5256184787, 3037872.418762073, 3090165.5613938123, 3147768.342188701, 3210813.014324069, 3279474.4821291864, 3353970.0823238343, 3434560.251664296, 3521550.0178230256, 3615291.286667198, 3716185.930040762, 3824689.7060776353, 3941317.070874527, 4066646.9675970525, 4201329.708234727, 4346095.09568885, 4501761.971209526, 4669249.416143894, 4849589.889611512, 5043944.647638291, 5253621.86769098, 5480097.99955827, 5725042.984426767, 5990350.135709107, 6278171.6667456925, 6590961.093936741, 6931524.05513218, 7303079.48369652, 7709333.597614944, 8154569.839931488, 8643758.796182394, 9182693.291842043, 9778155.443860501, 10438124.554484338, 11172037.60587275, 11991118.048012793, 12908794.018626094, 13941234.754454732, 15108044.73903805, 16433170.584759176, 17946098.077475846, 19683449.832578182, 21691143.364274204, 24027344.352564096, 26766565.85806185, 30005447.08735937, 33871039.78920829, 38532915.732251406, 44221229.427930355, 51254297.83839619, 60081821.496863365, 71354637.24521077, 86041116.15202248, 105628999.03081846, 132491313.5089562, 170585343.86461282, 226873459.99008298, 314437091.057966, 459966597.91682076, 724029797.1252213, 1265077374.2676463]"
17,10117981.784780847,"[7534344.452205287, 5342690.210460104, 4469094.707408454, 3977199.367499206, 3659491.9063723423, 3438768.7789871395, 3278794.6953974664, 3160034.466946669, 3070928.5275102407, 3004163.7929427326, 2954876.643831037, 2919706.5996613726, 2896262.579320453, 2882804.9425022528, 2878047.4474308267, 2881029.273732275, 2891029.748227462, 2907510.0574020147, 2930072.5634675175, 2958431.9325576425, 2992394.396233514, 3031842.7507728636, 3076725.5010125786, 3127049.07036379, 3182872.3371533304, 3244302.9852838516, 3311495.3141727746, 3384649.2637738287, 3464010.4909490943, 3549871.393818274, 3642573.027812436, 3742507.895733565, 3850123.6275338084, 3965927.59631519, 4090492.5472248048, 4224463.347233281, 4368564.997878224, 4523612.091613114, 4690519.937282324, 4870317.633612037, 5064163.434076279, 5273362.825337917, 5499389.838804752, 5743912.236008376, 6008821.36043188, 6296267.640144914, 6608702.969169676, 6948931.506883383, 7320170.835433036, 7726125.934161097, 8171079.107015431, 8659999.888335645, 9198680.129796058, 9793901.042370558, 10453641.081318349, 11187336.432517976, 12006209.79247564, 12923688.58051467, 13955941.342339694, 15122571.88986355, 16447526.174820542, 17960289.324161828, 19697483.285679042, 21705024.88513714, 24041079.078689933, 26780158.149793506, 30018900.452011704, 33884356.77614236, 38546097.7897377, 44234276.708745, 51267208.935255766, 60094593.07987785, 71367263.55959237, 86053588.31194592, 105641304.00860119, 132503432.65649998, 170597250.6952858, 226885116.75238085, 314448443.2630091, 459977565.2641499, 724040257.8397326, 1265087137.0271401]"
18,10306671.658466036,"[7676477.13468921, 5445471.751483142, 4556712.515047003, 4056657.9870475195, 3733998.219433412, 3510122.604377724, 3348139.136687547, 3228161.3432442397, 3138424.121960491, 3071486.4760655984, 3022401.741308786, 2987754.059422627, 2965114.9747450873, 2952719.751152523, 2949265.7948117033, 2953782.423098989, 2965544.11989291, 2984011.276104614, 3008788.863100797, 3039597.143939197, 3076250.6786518395, 3118643.186751157, 3166736.6473475397, 3220553.5418949276, 3280171.4897567183, 3345719.7593638897, 3417377.2982822955, 3495372.039234638, 3579981.322118178, 3671533.334797561, 3770409.524987191, 3877047.976727575, 3991947.7813378572, 4115674.4669620097, 4248866.585122317, 4392243.5889983475, 4546615.178365529, 4712892.332255363, 4892100.304720968, 5085393.924290657, 5294075.617094368, 5519616.671428472, 5763682.383034021, 6028161.872550249, 6315203.558553338, 6627257.5133236945, 6967126.2400019765, 7338025.8105739355, 7743659.823231429, 8188309.3147034645, 8676942.652622312, 9215350.610422045, 9810313.398385644, 10469808.538612187, 11203271.3420223, 12021923.679523408, 12939192.185637653, 13971244.653569758, 15137684.166364253, 16462455.961398423, 17975044.455870926, 19712070.88131571, 21719451.32787496, 24055349.981387973, 26794278.3015303, 30032873.741041362, 33898186.08255255, 38559784.83832878, 44247821.868600726, 51280610.94641638, 60107848.67826784, 71380366.95688629, 86066530.46388495, 105654071.5671612, 132516006.43677783, 170609603.37513065, 226897209.31862092, 314460219.33507204, 459988941.6815157, 724051108.4146628, 1265097263.4252076]"
19,10501276.898062207,"[7823117.678503372, 5551577.496515214, 4647217.899499867, 4138784.6147871725, 3811053.2808790803, 3583963.218461558, 3419945.8175640255, 3298752.8391343877, 3208407.6599282473, 3141337.7912969366, 3092511.3494045287, 3058455.8051355705, 3036704.625910066, 3025467.6986535564, 3023426.1158930436, 3029599.6290992796, 3043258.3968138397, 3063862.732976511, 3091021.128877148, 3124460.5470890105, 3164005.1769854873, 3209561.172777146, 3261105.727676749, 3318679.3725663126, 3382380.7396622747, 3452363.269253701, 3528833.5019536763, 3612050.7157892436, 3702327.753256783, 3800032.948938161, 3905593.1206275076, 4019497.631223768, 4142303.5685732365, 4274642.128880501, 4417226.328651637, 4570860.212599874, 4736449.772761226, 4915015.849661559, 5107709.352543086, 5315829.215806544, 5540843.6071771085, 5784415.025058806, 6048430.075079501, 6335034.908048421, 6646677.545501441, 6986158.630696297, 7356692.5438397825, 7761981.339542955, 8206304.641636044, 8694629.520015597, 9232745.551682115, 9827431.839288175, 10486664.874703407, 11219879.005471349, 12038295.19604683, 12955339.221887827, 13987178.055139959, 15153413.986302197, 16477991.47882396, 17990394.183935225, 19727242.563297987, 21734451.919642508, 24070185.617692053, 26808954.24259031, 30047394.294457793, 33912554.493596196, 38574003.13878608, 44261890.67015052, 51294529.15822196, 60121613.11885691, 71393971.81537378, 86079966.54154491, 105667325.19080174, 132529057.86839187, 170622424.42519903, 226909759.65854788, 314472440.6067171, 460000747.72931933, 724062368.4248343, 1265107771.7066174]"
20,10702059.502583977,"[7974468.103845328, 5661159.366886545, 4740745.325297568, 4223705.814082861, 3890780.2444295026, 3660413.0073697492, 3494338.156806737, 3371934.775310211, 3281008.4998847246, 3213851.6445294023, 3165344.8690445274, 3131957.6603886187, 3111184.71676182, 3101210.30047518, 3100699.2821011394, 3108662.21487166, 3124365.5384553373, 3147270.31519109, 3176989.5928055793, 3213258.282399267, 3255911.6729304492, 3304870.059996262, 3360127.8153746724, 3421745.769113198, 3489846.1353467107, 3564609.4558909237, 3646273.2041469365, 3735131.812186867, 3831537.972863212, 3935905.137375906, 4048711.18441391, 4170503.2849955857, 4301904.031369165, 4443618.941897541, 4596445.4994151, 4761283.930657685, 4939149.991679668, 5131190.091636658, 5338699.168447077, 5563141.82895574, 5806177.388763458, 6069689.599878728, 6355822.046923369, 6667020.436855406, 7006083.319083065, 7376223.173935354, 7781140.326810688, 8225112.822571039, 8713106.284376502, 9250908.958712518, 9845298.719575047, 10504250.919009686, 11237198.84159249, 12055362.454478383, 12972166.590828419, 14003777.325088978, 15169796.084228694, 16494166.491557062, 18006371.370050967, 19743030.352304935, 21750057.896671534, 24085616.491105974, 26824215.7908656, 30062491.287218213, 33927490.57960546, 38588780.69072634, 44276510.57164359, 51308990.51201415, 60135912.84511042, 71408104.09340596, 86093922.02339256, 105681089.87391078, 132542611.44519699, 170635737.80576682, 226922791.1424651, 314485129.7676766, 460013005.2738664, 724074058.6868062, 1265118681.2724576]"
21,10909296.539054202,"[8130742.188700845, 5774378.301229294, 4837437.388916776, 4311555.944768999, 3973309.99005118, 3739602.1759513393, 3571447.601672791, 3447841.306020558, 3356364.7237246335, 3289171.135600947, 3241051.4461662546, 3208415.828138441, 3188719.5332684517, 3180120.992047094, 3181269.006929755, 3191165.3827116936, 3209073.5483879596, 3234456.2619782686, 3266932.307610959, 3306245.9609663486, 3352245.2742014974, 3404866.6141297966, 3464123.7526955605, 3530100.3651016355, 3602945.157979533, 3682869.098492384, 3770144.388194248, 3865104.9496427774, 3968148.2863099873, 4079738.648569748, 4200411.498145491, 4330779.315873206, 4471538.847111672, 4623479.9289958775, 4787496.096998841, 4964597.2279208, 5155924.545641243, 5362768.398427397, 5586589.316707164, 5829042.9835290015, 6092009.903519034, 6377630.749181747, 6688348.607989281, 7026959.665893972, 7396674.264219254, 7801190.786415756, 8244785.50855729, 8732422.437190533, 9269888.335798532, 9863959.712419182, 10522610.655243158, 11255273.273447007, 12073166.434577584, 12989713.936004221, 14021080.86861372, 15186867.716539443, 16511017.189199388, 18023011.212162018, 19759468.52345705, 21766302.674267054, 24101675.21468711, 26840094.809589565, 30078195.88021505, 33943024.84177804, 38604147.37344849, 44291710.863272905, 51324023.73634243, 60150776.0455029, 71422791.45417917, 86108424.05403459, 105695392.23908925, 132556693.25125134, 170649569.0280931, 226936328.6496718, 314498310.969676, 460025737.5880327, 724086201.3544536, 1265130012.7690349]"
22,11123281.2128136,"[8292166.31417552, 5891404.916673683, 4937445.4263167195, 4402477.756411716, 4058781.7226363793, 3821669.3646143153, 3651414.272710815, 3526615.6004063785, 3434623.8627521396, 3367449.3371230364, 3319790.811993487, 3287997.8017096967, 3269485.4553363547, 3262386.21293623, 3265333.0351164043, 3277319.5226584226, 3297606.9186692983, 3325660.7635243684, 3361106.921617195, 3403700.6401628405, 3453304.619308695, 3509873.4824724644, 3573442.918333143, 3644122.3336962163, 3722090.2315457016, 3807591.78310591, 3900938.240532607, 4002507.965292588, 4112748.943947643, 4232182.7395391315, 4361409.891065344, 4501116.831415907, 4652084.450022161, 4815198.48413524, 4991461.985515505, 5182010.18092078, 5388128.129023731, 5611271.677853823, 5853092.351197094, 6115466.946762919, 6400532.822571248, 6710730.0930809975, 7048852.269142866, 7418107.277466476, 7822191.315054029, 8265378.671619922, 8752631.542898208, 9289735.03549859, 9883464.13534081, 10541791.526048303, 11274148.014162958, 12091751.252139032, 13008023.896290898, 14039129.957536876, 15204668.888377488, 16528582.402006805, 18040351.449631453, 19776593.802087784, 21783222.03402376, 24118396.69046551, 26856625.37964052, 30094541.386079133, 33959189.8720302, 38620135.10032964, 44307522.81655502, 51339659.49171376, 60166232.793976545, 71438063.40218568, 86123501.57689309, 105710260.66621232, 132571331.08635652, 170663945.2764349, 226950398.68681931, 314512009.9408195, 460038969.46109056, 724098820.0232224, 1265141788.1848507]"
23,11344324.028667288,"[8458980.382451883, 6012420.227987476, 5040930.174719624, 4496623.035518847, 4147343.62611562, 3906762.3243098706, 3734387.6704413667, 3608410.590372592, 3515943.695816897, 3448850.1520824954, 3401734.209803246, 3370883.3712273166, 3353672.054483108, 3348206.6086762995, 3353104.463179484, 3367351.668235302, 3390208.239602357, 3421143.746287182, 3459792.664386153, 3505923.0381676555, 3559414.354039505, 3620241.9707050025, 3688466.3492421657, 3764225.9066654295, 3847732.700133264, 3939270.4099534005, 4039194.2726615667, 4147932.748708561, 4265990.810677752, 4393954.819460601, 4532499.025749236, 4682393.7986602485, 4844515.747108251, 5019859.966889024, 5209554.721318573, 5414878.949951321, 5637283.103186309, 5878413.926285237, 6140143.971745014, 6424606.813417196, 6734239.18144998, 7071831.550174445, 7440589.113036126, 7844205.598732829, 8286953.060516149, 8773791.660682231, 9310504.650177479, 9903865.314729393, 10561844.773349315, 11293872.385601074, 12111164.458171487, 13027142.387526214, 14057968.996107578, 15223242.605128706, 16546903.839437544, 18058432.59005469, 19794445.57990527, 21800854.33030641, 24135818.3071146, 26873843.98918599, 30111563.451497078, 33976020.52861869, 38636777.98831558, 44323979.84819043, 51355930.52926743, 60182315.20381403, 71453951.43261182, 86139185.47939074, 105725725.43360043, 132586554.60332131, 170678895.54140902, 226965029.51723695, 314526254.11054134, 460052727.3186579, 724111939.8439822, 1265154030.956479]"
24,11572754.05186354,"[8631438.814659242, 6137616.430583216, 5148062.494288582, 4594153.312425282, 4239153.578993082, 3995038.656055324, 3820527.450832598, 3693389.7925739586, 3600493.127967775, 3533549.2595103383, 3487065.4185678437, 3457265.7371418253, 3441483.310413316, 3437798.3651383966, 3444813.2082315534, 3461507.1186410487, 3487139.9969409555, 3521186.8700639457, 3563292.5722828656, 3613240.0211455673, 3670927.918678835, 3736355.1748741865, 3809610.2695881277, 3890864.361430377, 3980367.3448804617, 4078446.3248585314, 4185506.167015642, 4302031.920732319, 4428593.018727481, 4565849.24466525, 4714558.536904395, 4875586.769071609, 5049919.721757263, 5238677.539075732, 5443132.053860694, 5664727.471031487, 5905105.0262414515, 6166132.3937393725, 6449938.812891841, 6758957.149316698, 7095974.420251638, 7464192.71625638, 7867302.971783131, 8309574.715251327, 8795965.819562793, 9332257.452080727, 9925220.994724035, 10582825.81937769, 11314499.674453825, 12131457.372639239, 13047118.916155994, 14077645.816554427, 15242635.151653051, 16566026.354636788, 18077298.16039908, 19813066.154038608, 21819240.71832204, 24153980.158051074, 26891789.742706478, 30129300.25796753, 33993554.12934923, 38654112.544226885, 44341117.70004141, 51372871.86493087, 60199057.59641492, 71470489.19511044, 86155508.75202382, 105741818.8726151, 132602395.45821714, 170694450.76592135, 226980251.30239916, 314541072.74625826, 460067039.3538556, 724125587.6474895, 1265166766.0843053]"
25,11808920.278924996,"[8809811.636773797, 6267197.754015513, 5259024.156033494, 4695240.634276647, 4334379.938037276, 4086666.6222009435, 3910004.277384676, 3781728.2130886912, 3688453.1591014564, 3621735.1587680876, 3575981.8852869794, 3547352.744137995, 3533138.9615216553, 3531394.6924863756, 3540707.6444868594, 3560051.2495781183, 3588686.5819945037, 3626095.7660943866, 3671935.987766877, 3726007.402214423, 3788230.6914237887, 3858631.521509245, 3937330.0887331665, 4024534.548752174, 4120537.5259758085, 4225715.175548494, 4340528.466104686, 4465526.496454075, 4601351.77276504, 4748747.46748206, 4908566.766302735, 5081784.4920651615, 5269511.280246854, 5473010.6754513085, 5693719.627445906, 5933272.995418787, 6193532.827840209, 6476623.382261068, 6784973.096971095, 7121365.0409486, 7488997.771648943, 7891559.051117778, 8333315.549401641, 8819222.554836452, 9355058.889117807, 9947593.796874166, 10604794.694155306, 11336087.530995786, 12152685.457495332, 13068006.92920363, 14098212.008325696, 15262896.402862012, 16585998.238181472, 18096994.985542238, 19832500.991817594, 21838425.406433523, 24172925.282437146, 26910504.59172213, 30147792.74317509, 34011830.66442752, 38672177.869826496, 44358974.63707483, 51390520.97081959, 60216496.68665624, 71487712.67355227, 86172506.6628573, 105758575.53716314, 132618887.47504985, 170710644.00504208, 226996096.2568617, 314556497.10298824, 460081935.6708739, 724139792.0806136, 1265180020.2591848]"
26,12053193.129501162,"[8994385.662616996, 6401381.393379871, 5374008.703041196, 4800068.4113269, 4433202.397709146, 4181826.037563391, 4003000.7586601153, 3873613.3444870263, 3780017.953362629, 3713610.3244541064, 3668695.979472816, 3641368.2506125793, 3628876.0065185577, 3629247.478279546, 3641056.4297894835, 3663271.538304955, 3695156.544042349, 3736202.550123483, 3786081.3716704547, 3844613.097777307, 3911743.541080296, 3987528.7778993845, 4072124.9409679025, 4165782.0465655923, 4268841.0506133735, 4381733.612294897, 4504984.2468642, 4639214.70158954, 4785150.509911388, 4943629.782260776, 5115614.387324035, 5302203.772479355, 5504651.773346096, 5724386.876317829, 5963036.531545728, 6222456.275137752, 6504764.618224591, 6812384.909590155, 7148095.694186121, 7515091.493814111, 7917056.457855642, 8358254.010923326, 8843636.515312046, 9378980.144759983, 9971051.73808819, 10627816.516167223, 11358698.416549206, 12174908.73449415, 13089864.205542088, 14119723.285558641, 15284080.169797957, 16606871.544902265, 18117573.497728407, 19852799.02454394, 21858455.935741484, 24192699.931908846, 26930033.58985877, 30167084.845461607, 34030893.03128821, 38691015.887856424, 44377591.66536152, 51408917.98586428, 60234671.786732435, 71505660.38357341, 86190216.94918442, 105776032.38977647, 132636066.82645297, 170727510.6013615, 227012598.818146, 314572560.5873618, 460097448.4423144, 724154583.7556024, 1265193822.0012145]"
27,12305966.071716515,"[9185465.784092253, 6540398.526915617, 5493222.392997444, 4908832.344673198, 4535812.9338713065, 4280709.249609113, 4099712.481262274, 3969246.2663104683, 3875396.021529533, 3809392.4856033996, 3765436.385168247, 3739553.651097968, 3728950.3769126087, 3731629.1322116405, 3746150.547903344, 3771479.832471788, 3806885.119128719, 3851868.6498264074, 3906119.4741788805, 3969480.6944418103, 4041926.8511997014, 4123548.6053736657, 4214542.8526275605, 4315207.0409900695, 4425936.886496782, 4547226.974963635, 4679673.949592948, 4823982.1449352205, 4980971.658107549, 5151588.962174654, 5336920.274615437, 5538208.004297107, 5756870.720982671, 5994527.229837179, 6253025.498259455, 6534477.383889586, 6841300.363662869, 7176267.780894667, 7542569.532476187, 7943885.640725493, 8384475.8341009915, 8869289.152505428, 9404098.771944731, 9995668.815675288, 10651962.034098625, 11382400.106737316, 12198192.25415945, 13112753.294245541, 14142239.898030162, 15306244.586010218, 16628702.458179533, 18139088.080988348, 19874012.973989367, 21879383.490398765, 24213353.866252363, 26950425.17526537, 30187223.7742154, 34050787.29405373, 38710671.59154475, 44397012.77250183, 51428105.94792259, 60253625.03061867, 71524373.58996284, 86208680.02830994, 105794229.00614929, 132653972.23221135, 170745088.37757397, 227029795.83324552, 314589298.9376266, 460113612.08184075, 724169995.4138408, 1265208201.8119497]"
28,12567657.394965539,"[9383376.380011665, 6684495.429130305, 5616885.230966732, 5021741.4445774555, 4642416.841434889, 4383522.218078412, 4200349.14960894, 4068842.8614855856, 3974811.5303185657, 3909316.0447981283, 3866449.648094222, 3842169.5715703815, 3833638.8030313402, 3838834.648410842, 3856305.5963003784, 3885014.896980658, 3924237.0748042166, 3973487.9924708903, 4032476.9178920835, 4101073.488838449, 4179285.088647589, 4267241.741370812, 4365186.637770772, 4473471.054258272, 4592552.863106787, 4722998.135994777, 4865485.564302668, 5020813.590504378, 5189910.2865794, 5373846.142450094, 5573850.051301777, 5791328.9087286, 6027891.387901068, 6285376.622761816, 6565888.736413658, 6871838.405582488, 7205992.971161813, 7571537.011469215, 7972145.818458527, 8412074.897684723, 8896269.505017936, 9430499.412665963, 10021525.669844419, 10677308.238872737, 11407266.2587955, 12222606.623346984, 13136742.006738007, 14165827.091680765, 15329452.539777875, 16651551.696786463, 18161597.455180228, 19896199.71591544, 21901263.242628813, 24234940.681717932, 26971731.483821988, 30208260.309396863, 34071562.97064614, 38731193.320433974, 44417285.193169594, 51448131.0499239, 60273401.62158847, 71543896.546211, 86227939.22967386, 105813207.80025887, 132672645.1776551, 170763417.8482449, 227047726.76363945, 314606750.42145276, 460130463.433851, 724186062.1057262, 1265223192.341587]"
