Layer,k[0],k[1:]
29,12838712.145771164,"[9588462.856245384, 6833934.689925484, 5745232.102523755, 5139019.149711408, 4753233.876865186, 4490485.7058338, 4305135.845397882, 4172635.162933208, 4078505.7545183226, 4013633.6550518423, 3972001.8981115595, 3949497.7605550885, 3943240.899723232, 3951183.9152450413, 3971864.3538859338, 4004245.2786278278, 4047609.9168756306, 4101490.606377557, 4165620.255456388, 4239899.073504865, 4324372.002564311, 4419213.911646992, 4524720.642329156, 4641304.661942944, 4769494.530418575, 4909937.702302083, 5063406.418244466, 5230806.623247653, 5413190.004207581, 5611769.382617235, 5827937.842019141, 6063292.124735624, 6319661.009175539, 6599139.589227587, 6904130.634683818, 7237394.533512652, 7602109.725482136, 8001946.061801791, 8441154.207184613, 8924675.093830228, 9458274.617091537, 10048710.335897475, 10703939.056861788, 11433377.052645147, 12248228.600100517, 13161903.970574081, 14190555.625799716, 15353772.15861553, 16675484.970150888, 18185165.105031192, 19919420.68555963, 21924154.73701656, 24257518.176205516, 26994008.697077572, 30230249.133879304, 34093273.351000905, 38752633.0657717, 44438459.702840686, 51469042.92295265, 60294050.1055423, 71564276.75884771, 86248041.05083, 105833014.27247536, 132692130.1542325, 170782542.45298123, 227066433.91093874, 314624956.0535829, 460148041.9821253, 724202821.3884954, 1265238828.5728025]"
30,13119604.244231911,"[9801093.331497671, 6988996.551512074, 5878514.01863315, 5260904.559009887, 4868499.517926417, 4601836.594320454, 4414314.421444327, 4280872.846651822, 4186738.6901462376, 4122617.974954307, 4082380.7701886296, 4061843.202432722, 4058081.501931548, 4069024.307305664, 4093199.6686452925, 4129572.5348073095, 4177437.511935711, 4236346.698872879, 4306060.575135127, 4386514.554992825, 4477796.555260092, 4580132.5927221775, 4693878.479299083, 4819516.36935769, 4957655.378246248, 5109035.82004261, 5274536.858701885, 5455187.56434983, 5652181.538579792, 5866895.436234653, 6100911.880028963, 6356047.4510373175, 6634386.655395091, 6938323.030156583, 7270608.87692675, 7634415.523373395, 8033406.539998978, 8471827.022868931, 8954612.947297484, 9487525.778672904, 10077319.100621939, 10731946.137112498, 11460819.917150974, 12275141.766011536, 13188319.254018068, 14216502.355137944, 15379277.353552103, 16700573.488851547, 18209859.76040429, 19943742.330801964, 21948122.319333434, 24281148.756190598, 27017317.42943859, 30253249.202821553, 34115975.85032743, 38775046.809173584, 44460590.94319582, 51490894.949573874, 60315622.67328477, 71585565.27955353, 86269035.44012725, 105853697.28338945, 132712474.92487717, 170802508.81351423, 227085962.6655748, 314643959.8356228, 460166390.0796437, 724220313.5440822, 1265255148.0231757]"
31,13410838.800734874,"[10021660.484795768, 7149980.376421232, 6016999.48515575, 5387653.789372951, 4988466.354726091, 4717829.338873118, 4528145.046643212, 4393824.889884353, 4299790.849488668, 4236563.6256094575, 4197897.550594628, 4179536.4834323972, 4178513.285093084, 4192733.5998209715, 4220717.711745828, 4261434.880294904, 4314194.188607559, 4378571.28433758, 4454358.740704045, 4541532.505966604, 4640229.705367744, 4750734.767356083, 4873471.925068751, 5009002.8505245, 5158028.660379037, 5321395.8765591085, 5500106.187253058, 5695330.0690898, 5908424.5243860185, 6140955.376550853, 6394724.767656028, 6671804.729611903, 6974577.970260501, 7305787.346644312, 7668595.913077772, 8066659.961795777, 8504218.159415096, 8986200.778372824, 9518364.204911679, 10107457.480139226, 10761429.74780631, 11489690.355056494, 12303437.288101941, 13216075.072180808, 14243750.886623204, 15406048.431921959, 16726894.53827697, 18235755.935018837, 19969236.619626343, 21973235.615978777, 24305899.89100176, 27041723.159811318, 30277324.154911518, 34139732.401938856, 38798494.8987965, 44483737.78319216, 51513744.611171365, 60338175.495324254, 71607817.02844536, 86290976.10933626, 105875309.35645282, 132733730.81713438, 170823367.0175388, 227106361.78125978, 314663809.02059627, 460185553.20206165, 724238581.8193498, 1265272190.9683695]"
32,13712954.655079408,"[10250583.582826322, 7317206.261633217, 6160976.011564199, 5519541.474246934, 5113405.628051281, 4838737.581247203, 4646907.921200052, 4511781.415699892, 4417965.261979215, 4355789.376472205, 4318889.579162225, 4302936.445600688, 4304919.7109297365, 4322723.252335668, 4354861.652404666, 4400311.315328032, 4458399.3913793415, 4528729.449003354, 4611131.367701709, 4705627.771872789, 4812412.186297104, 4931835.843397617, 5064401.180521563, 5210760.794118822, 5371721.1180562675, 5548250.455940664, 5741491.278729349, 5952776.936162978, 6183653.149855077, 6435904.877578765, 6711589.380292416, 7013076.603657961, 7343098.32418403, 7704807.930891335, 8101853.247508913, 8538465.488606572, 9019568.34119314, 9550912.347367287, 10139241.33982107, 10792499.80006671, 11520092.882594615, 12333214.784430683, 13245266.587380588, 14272392.322035015, 15434172.788895905, 16754532.124703526, 18262934.53203684, 19995981.60955751, 21999570.071079254, 24331844.620938182, 27067296.713695943, 30302542.77105373, 34164609.894845724, 38823042.46788627, 44507963.72037375, 51537653.87361014, 60361769.0932734, 71631091.15240932, 86313920.87991071, 105897907.01296067, 132755953.04742539, 170845170.9325416, 227127683.67831302, 314684554.4052148, 460205580.22766614, 724257672.6913633, 1265290000.6885343]"
33,14026527.162964039,"[10488310.707583547, 7491016.81582753, 6310751.775414843, 5656862.420171358, 5243608.9332326725, 4964855.939225778, 4770905.184068106, 4635055.748478211, 4541589.7085008845, 4480640.591366619, 4445722.943314612, 4432433.169695035, 4437718.345831066, 4459442.11631164, 4496115.817069009, 4546726.309177935, 4610622.973994419, 4687442.354832053, 4777057.656913444, 4879545.275519237, 4995163.450625375, 5124339.939935014, 5267666.7416103035, 5425900.651220813, 5599968.95950523, 5790979.981705755, 6000238.414045513, 6229265.777436167, 6479826.460978776, 6753960.141089767, 7054021.647190541, 7382729.693857342, 7743226.327691972, 8139149.476803869, 8574721.683244199, 9054858.999857068, 9585305.21931395, 10172798.180997372, 10825277.02074945, 11552142.10280934, 12364583.310262144, 13275997.818701982, 14302526.10001278, 15463745.689763427, 16783577.704625905, 18291483.526335657, 20024062.088017225, 22027207.549428284, 24359062.12674254, 27094114.802669764, 30328979.486927748, 34190680.66209668, 38848759.901290834, 44533337.32766366, 51562689.61616099, 60386468.752522945, 71655451.42291045, 86337932.06709695, 105921551.14339054, 132779201.08028448, 170867978.55329752, 227149984.77937913, 314706250.6532426, 460226523.7470193, 724277636.1607218, 1265308623.7407298]"
34,14352171.258008733,"[10735321.207467724, 7671779.1190332025, 6466657.461375255, 5799933.440766446, 5379390.11035791, 5096501.996041842, 4900463.037766613, 4763986.708488055, 4671019.22093875, 4611491.970878646, 4578795.505268738, 4568451.33463411, 4577364.606893748, 4603380.630589783, 4645010.407483637, 4701255.126545221, 4771491.235086784, 4855394.103704572, 4952887.228767887, 5064108.990533695, 5189391.984682038, 5329251.785769716, 5484383.174556017, 5655662.641918987, 5844156.529367626, 6051134.576099664, 6278088.976184875, 6526759.3481929, 6799164.314334691, 7097640.703050911, 7424891.75317952, 7784046.137021363, 8178730.167024791, 8613156.248909235, 9092231.549313396, 9621692.035425007, 10208268.624239981, 10859894.30017063, 11585963.935334831, 12397662.484839499, 13308382.678501904, 14334260.953208566, 15494871.15711236, 16814131.010066926, 18321498.73496777, 20053570.294042647, 22056237.01479298, 24387638.36916256, 27122260.629299283, 30356714.96685338, 34218023.02677208, 38875723.35637796, 44559932.75167298, 51588924.10936093, 60412344.98153758, 71680966.67834616, 86363076.90670991, 105946307.41969204, 132803539.02695906, 170891852.38722682, 227173325.88154936, 314728956.65378356, 460248440.4059348, 724298526.0763946, 1265328110.2605534]"
35,14690544.821162352,"[10992128.398051104, 7859886.886569168, 6629048.296222892, 5949095.39038638, 5521087.34467569, 5234018.515700519, 5035934.119551845, 4898941.178074144, 4806638.883796632, 4748750.633103237, 4718540.31057398, 4711454.009066552, 4724356.000027895, 4755075.579737008, 4802126.865409091, 4864529.899887919, 4941693.8176971525, 5033339.605997279, 5139449.130008787, 5260232.288346186, 5396107.238732338, 5547690.52574414, 5715795.153091133, 5901435.454962254, 6105838.197871059, 6330459.785654336, 6577009.809757292, 6847481.529034406, 7144190.212381631, 7469820.663979977, 7827485.705717266, 8220797.949832052, 8653957.90087685, 9131862.337141395, 9660238.115286708, 10245808.125268966, 10896498.246045113, 11621697.029920816, 12432583.782710195, 13342546.157001555, 14367715.999333084, 15527662.97963208, 16846300.984858453, 18353084.689318776, 20084606.73360008, 22086755.29471916, 24417666.808777332, 27151824.56682712, 30385836.747586906, 34246721.91362095, 38904015.34580046, 44587830.26947713, 51616435.54833436, 60439474.02392638, 71707711.31676531, 86389428.03009307, 105972246.75377905, 132829036.08838439, 170916859.88240957, 227197772.5694692, 314752735.91886806, 460271391.2859535, 724320400.4959769, 1265348514.296597]"
36,15042352.39358286,"[11259282.54225077, 8055762.862193856, 6798306.30423975, 6104715.42287384, 5669065.50452584, 5377775.914208867, 5177700.152344793, 5040316.977050804, 4948866.980564475, 4892859.581553042, 4865429.434150487, 4861946.940034315, 4879236.925692007, 4915115.503555983, 4968103.9875956625, 5037246.569797635, 5121991.617216155, 5222113.625366539, 5337662.217735738, 5468929.904542923, 5616433.468727097, 5780905.792776734, 5963296.192371011, 6164778.170741737, 6386764.1198171675, 6630926.973844618, 6899229.23570773, 7193960.193716079, 7517782.566098899, 7873790.28801775, 8265579.730360895, 8697337.356972784, 9173947.746159554, 9701127.101832807, 10285588.967319459, 10935250.981486619, 11659494.396588534, 12469492.018343717, 13378625.680220306, 14403021.988424659, 15562245.862381577, 16880206.849624157, 18386355.624884605, 20117281.102869272, 22118867.94487697, 24449249.21797782, 27182904.924528062, 30416439.962073684, 34276869.5356158, 38933725.390717745, 44617116.91189909, 51645308.64910662, 60467938.43037295, 71735765.84563756, 86417063.99360764, 105999445.80825484, 132855767.04827905, 170943073.90373588, 227223395.67467427, 314777657.0253434, 460295442.3270683, 724343322.0858483, 1265369894.181878]"
37,15408349.273941126,"[11537374.143733189, 8259861.468864273, 6974842.810940184, 6267189.5045636, 5823718.748228103, 5528175.021296322, 5326174.914027266, 5188546.090884291, 5098158.5344513655, 5044301.617134541, 5019978.329492971, 5020483.414941207, 5042604.141150445, 5084146.86195384, 5143644.913697943, 5220172.838522822, 5313225.870112807, 5422641.2053628415, 5548547.167179689, 5691331.821069568, 5851625.84797658, 6030296.480726302, 6228450.610330969, 6447446.058163822, 6688910.664703488, 6954769.372897834, 7247279.955927104, 7569078.508254617, 7923236.330221385, 8313330.434237331, 8743530.634369314, 9218707.111923516, 9744563.55747962, 10327802.583551764, 10976332.233108789, 11699525.2922256, 12508547.058675796, 13416772.671570659, 14440322.733027399, 15598756.742154598, 16915979.31650132, 18421436.60750234, 20151713.336444855, 22152690.228275955, 24482496.599041104, 27215608.811468065, 30448628.154851854, 34308566.166213036, 38964950.754476726, 44647887.16260898, 51675635.31661737, 60497827.69860077, 71765217.49638903, 86446069.86994338, 106027987.56629682, 132883812.82295859, 170970573.26349306, 227250271.78716016, 314803794.1067951, 460320664.7981434, 724367358.5663533, 1265392312.9469805]"
38,15789346.046713334,"[11827037.592067722, 8472671.749567553, 7159101.227126829, 6436945.21503488, 5985473.436138384, 5685650.172585465, 5481807.569847345, 5344098.302303448, 5255009.301315725, 5203603.760706902, 5182750.758041814, 5187669.786465943, 5215112.984158322, 5262881.078532875, 5329525.132884473, 5414157.309633404, 5516328.629691273, 5635949.72484754, 5773240.4002889395, 5928699.423230916, 6103089.284452707, 6297432.7494395375, 6513019.367618769, 6751421.047295541, 7014516.510595411, 7304525.030060172, 7624050.393642545, 7976136.60708797, 8364337.4751056135, 8792802.960398614, 9266386.167178452, 9790776.015543371, 10372662.275355428, 11019941.765506953, 11741977.412045538, 12549925.805514723, 13457154.353653073, 14479776.753319502, 15637346.296194613, 16953761.97866398, 18458464.818388164, 20188034.800504506, 22188348.227429867, 24517530.224684775, 27250053.11360097, 30482514.20278263, 34341921.00990367, 38997797.268390894, 44680243.74385607, 51707515.39452839, 60529238.9908402, 71796160.91261041, 86476537.90967524, 106057961.96868789, 132913261.07545757, 170999443.31361818, 227278483.826092, 314831227.4020784, 460347135.8212669, 724392583.2078824, 1265415838.780336]"
39,16186213.59450548,"[12128955.2036125, 8694720.635374144, 7351560.15002352, 6614444.8741809055, 6154791.389689758, 5850672.678495698, 5645086.419901416, 5507485.285344869, 5419960.282369018, 5371342.264201552, 5354364.389270529, 5364171.766181856, 5397484.482252672, 5452102.609440953, 5526601.68289268, 5620140.020803928, 5732334.8765651435, 5863182.879991174, 6013010.294763416, 6182444.367872477, 6372400.475746363, 6584081.913777262, 6818990.588643521, 7078947.871051192, 7366125.637694806, 7683088.194830745, 8032846.415991724, 8418926.110928863, 8845453.436018795, 9317261.12844497, 9840020.583391815, 10420406.407932162, 11066302.231294543, 11787059.445116848, 12593824.498828232, 13499955.834506035, 14521559.175814211, 15678180.678182185, 16993712.904617548, 18497591.024617255, 20226389.654749632, 22225980.110865176, 24554482.820438683, 27286365.601767242, 30518221.357150495, 34377053.185785174, 39032380.26320577, 44714298.50143039, 51741057.50856161, 60562277.939777374, 71828698.92225921, 86508568.28279984, 106089466.6272111, 132944206.90272188, 171029776.6079595, 227308121.6775906, 314860043.86802053, 460374938.9572215, 724419075.3846045, 1265440545.5418825]"
40,16599888.654972056,"[12443861.708417105, 8926576.583351184, 7552736.8237680495, 6800189.040113978, 6332173.545830324, 6023754.723615088, 5816543.122222349, 5679265.230758518, 5593602.83585307, 5548148.301975191, 5535497.178299502, 5550721.612051293, 5590513.49512957, 5652678.212136075, 5735823.749379933, 5839164.618254483, 5962396.562458172, 6105616.953304693, 6269276.11072357, 6454150.695561051, 6661333.854255408, 6892239.019932091, 7148615.757773519, 7432577.112620413, 7746638.768860251, 8093771.094298363, 8477465.904135346, 8901820.627796322, 9371643.569810778, 9892585.21800831, 10471302.184348136, 11115662.52219516, 11835004.066740483, 12640461.403297395, 13545382.532153904, 14565863.932416439, 15721443.522402287, 17036006.473257124, 18538981.26690632, 20266936.411489546, 22265737.579386294, 24593499.91172129, 27324686.191328764, 30555884.42601359, 34414092.841437876, 39068825.6221599, 44750173.40356922, 51776380.0170455, 60597059.555758834, 71862943.40583825, 86542269.91154122, 106122607.62508404, 132976753.6059916, 171061673.64416718, 227339282.90877008, 314890337.86501956, 460404164.8603339, 724446921.1936235, 1265466513.3372884]"
41,17031379.991590876,"[12772549.240801454, 9168853.633357298, 7763191.008038387, 6994720.429415815, 6518164.063036539, 6205453.759102166, 5996757.46215333, 5860048.083528265, 5776584.480770439, 5734714.450502858, 5726894.647415534, 5748126.358417153, 5795078.065851331, 5865567.622962996, 5958244.915123329, 6072392.472443193, 6207798.94874604, 6364679.807834715, 6543630.1687606275, 6745600.840256214, 6971892.2268232405, 7224163.103965312, 7504452.828267217, 7815216.706766069, 8159375.205073506, 8540378.562777638, 8962289.313210994, 9429886.267972767, 9948794.82598263, 10525650.124676466, 11168301.72751242, 11886071.457643807, 12690079.954836458, 13593663.00330782, 14612906.31677097, 15767338.265643418, 17080835.49310094, 18582818.80297059, 20309849.72581762, 22307787.522392333, 24634741.36281663, 27365168.377992034, 30595651.119098246, 34453182.41746092, 39107270.97432226, 44788001.67104828, 51813612.08465612, 60633709.250151396, 71899016.27450275, 86577761.40754604, 106157500.4168191, 133011013.55611193, 171095243.6963637, 227372073.5686183, 314922211.9256139, 460434912.0122614, 724476214.1485338, 1265493829.161007]"
42,17481775.257700916,"[13115872.899832074, 9422215.940221138, 7983529.31120868, 7198628.319472156, 6713354.944276653, 6396377.461137719, 6186362.750782728, 6050501.487381175, 5969615.5024018735, 5931802.084289834, 5929378.221520409, 5957277.265561223, 6012150.1910459995, 6091835.894310027, 6195037.35983853, 6321119.097570643, 6469979.67899017, 6641973.141369373, 6837863.933942854, 7058806.341760874, 7306343.104808927, 7582420.371189952, 7889417.79309544, 8230193.84400028, 8608147.523042142, 9027298.669016808, 9492390.253814548, 10009017.380796432, 10583789.40974477, 11224533.83303389, 11940553.46188289, 12742952.46190676, 13645052.25719291, 14662925.967543602, 15816090.847150803, 17128413.658299625, 18629306.35262668, 20355322.45767027, 22352313.92050618, 24678383.14018607, 27407980.879003584, 30637683.58165121, 34494478.08671057, 39147867.05021733, 44827929.05871272, 51852894.89809692, 60672363.99228954, 71937050.57438207, 86615172.12875772, 106194270.8419224, 133047109.1674062, 171130605.7515242, 227406609.08801484, 314955777.6176946, 460467287.5457556, 724507055.9577484, 1265522587.6177683]"
43,17952248.645027064,"[13474756.955943003, 9687382.846583761, 8214410.053395897, 7412553.50236842, 6918391.253187187, 6597189.340904556, 6386051.949650407, 6251357.548095301, 6173476.489373192, 6140249.839765057, 6143854.796205372, 6179160.700530097, 6242808.262336865, 6332667.693531081, 6447508.37454851, 6586793.3154820055, 6750551.121616438, 6939298.656511396, 7153998.812328488, 7396044.258177757, 7667261.964446604, 7969935.846770883, 8306846.667858541, 8681329.746003956, 9097352.27936238, 9559613.373780996, 10073671.30399108, 10646104.291895539, 11284713.328010172, 11998778.523495495, 12799384.479576647, 13699835.654632032, 14716190.364287138, 15867952.860432863, 17178978.40546328, 18678668.700600326, 20403568.054991066, 22399520.038100064, 24724619.33894849, 27453309.514537394, 30682160.148658812, 34538151.39674425, 39190779.22575015, 44870115.312328696, 51894383.04575658, 60713173.62045646, 71977191.73619008, 86654643.3738389, 106233056.26924574, 133085173.99599183, 171167889.56461573, 227443015.29316068, 314991156.51591444, 460501408.17123413, 724539557.3996425, 1265552891.7335854]"
44,18444069.42172643,"[13850201.791701004, 9965134.571999315, 8456548.735360056, 7637193.871345691, 7133977.01269082, 6808615.106433526, 6596584.6362424195, 6463420.547776535, 6389026.95622234, 6360983.327873573, 6371327.752045244, 6414870.7032592, 6488251.482900798, 6589383.9292143285, 6717119.632688239, 6871039.701679468, 7051326.640122384, 7258688.954669833, 7494322.6586891115, 7759900.51968503, 8057583.989301652, 8390055.449163765, 8760570.355558991, 9173030.458080173, 9632080.755376428, 10143234.428077668, 10713031.831565678, 11349241.932950854, 12061117.578371286, 12859720.00397569, 13758333.516950697, 14772998.94181937, 15923205.247698009, 17232794.249677777, 18731155.725187838, 20454823.31767565, 22449630.95832646, 24773664.519220054, 27501359.370980382, 30729277.35692376, 34584391.149378836, 39236189.28529173, 44914735.82899666, 51938246.087343335, 60756302.33096874, 72019598.99251342, 86696329.73508239, 106274006.89166355, 133125353.98109269, 171207236.85004473, 227481429.5490601, 315028481.29706264, 460537401.2210674, 724573839.308495, 1265584853.8691907]"
45,18958611.481193237,"[14243291.678502053, 10256318.606075801, 8710724.201755032, 7873310.734528974, 7360881.890738994, 7031449.894462079, 6818794.945589364, 6687575.766855627, 6617215.23473075, 6595026.311317757, 6612909.671350926, 6665623.543987274, 6749816.626739159, 6863461.14891462, 7005509.75753127, 7175684.972656131, 7374351.600653291, 7602444.154431105, 7861433.238488138, 8153321.777146578, 8480666.248128027, 8846620.957808703, 9255005.5406456, 9710397.694365859, 10218254.954530805, 10785071.293330401, 11418576.720287979, 12127991.125305712, 12924347.673217058, 13820906.60065189, 14833687.95491606, 15982162.649214923, 17290156.696129918, 18787045.936185002, 20509351.61498928, 22502896.524454832, 24825756.408695817, 27552357.29627955, 30779252.259926498, 34633405.55785906, 39284297.44065046, 44961983.55465007, 51984670.34426963, 60801930.37377238, 72064446.98915863, 86740400.63442552, 106317287.19415402, 133167808.85107791, 171248802.62994266, 227522002.05249262, 315067896.9778156, 460575405.8289702, 724610033.68753, 1265618596.7509184]"
46,19497364.04187561,"[14655203.507264532, 10561856.907832354, 8977785.602133103, 8121735.966973729, 7599948.796375409, 7266566.511842519, 7053600.648381844, 6924799.600334898, 6859089.852942511, 6843513.605438709, 6869837.065955982, 6932774.641996443, 7028997.587126523, 7156554.250200421, 7314520.847348645, 7502789.126536995, 7721940.119511604, 7973175.479421467, 8258290.199663639, 8579677.700864255, 8940362.781516343, 9344061.024436086, 9795265.64995253, 10299364.949453384, 10862795.6353212, 11493239.978661478, 12199877.762676716, 12993708.210980177, 13887962.6344257, 14898636.25835377, 16045178.547341049, 17351396.84663886, 18846650.624734044, 20567446.645457268, 22559594.76525426, 24881159.03986913, 27606554.787952185, 30832325.09953016, 34685424.73018706, 39335324.64982098, 45012071.158562064, 52033860.94733429, 60850255.98821032, 72111927.62172484, 86787042.07159126, 106363077.62244296, 133212713.71975553, 171292756.7633686, 227564897.29723835, 315109562.3164046, 460615574.26483417, 724648284.968102, 1265654254.6365862]"
47,20061943.660784315,"[15087216.610382963, 10882754.03055413, 9258660.27084884, 8383380.131631307, 7852102.53153988, 7514924.851837963, 7302013.556410134, 7176171.191026032, 7115812.664342701, 7107706.014539778, 7143487.4891036, 7217838.295021862, 7327468.2588471025, 7470523.169090539, 7646229.7728751, 7854682.342120498, 8096718.798187852, 8373857.373643905, 8688277.511919558, 9042836.205221593, 9441115.749009997, 9887502.26788038, 10387297.096404165, 10946865.661655307, 11573831.27703479, 12277324.56009221, 13068303.41486609, 13959964.168036819, 14968272.210354984, 16112651.380233407, 17416886.849586964, 18910318.752123117, 20629436.848781586, 22620035.899630547, 24940166.405260146, 27664231.347296655, 30888762.3998667, 34740703.53706318, 39389515.28815955, 45065233.53260267, 52086044.185266376, 60901497.61896229, 72162252.13435948, 86836458.61868727, 106411576.48427272, 133260260.90299559, 171339285.68475986, 227610295.73830843, 315153651.40347767, 460658073.44882226, 724688751.4373493, 1265691974.6369205]"
48,20654107.74987368,"[15540723.834984016, 11220106.311760284, 9554362.668229222, 8659241.723289505, 8118359.670821786, 7777582.681873083, 7565151.483078286, 7442885.84672679, 7388674.043082923, 7389007.680509701, 7435399.484343365, 7522510.767331392, 7647109.421546847, 7807464.363599464, 8002985.255231798, 8234008.886893392, 8501679.006824315, 8807890.104869694, 9155278.852103263, 9547254.753677726, 9988066.679315329, 10482905.670943558, 11038047.59330964, 11661042.327612907, 12360959.74545294, 13148707.079133987, 14037438.052325547, 15043081.963603437, 16185031.845912099, 17487046.3792575, 18978442.735697925, 20695690.6053949, 22684567.03774929, 25003106.732790887, 27725698.389482856, 30948860.562723577, 34799524.935115695, 39447140.235405385, 45121730.67254686, 52141470.20626044, 60955896.45988369, 72215653.52466226, 86888875.70200825, 106463002.12126136, 133310661.99124157, 171388594.38505054, 227658395.6867001, 315200355.47190166, 460703086.6727667, 724731606.8605137, 1265731918.2166505]"
49,21275769.815859918,"[16017244.05458751, 11575112.292207345, 9866004.550815329, 8950417.717803925, 8399839.87378122, 8055708.037247032, 7844252.03182435, 7726270.562489986, 7679110.526922196, 7688986.301125005, 7747295.923646927, 7848697.407808945, 7990040.445766583, 8169748.104260713, 8387451.978498757, 8643779.598467886, 8940239.68015787, 9279175.338068843, 9663769.093476176, 10098091.790025085, 10587193.045366377, 11137235.070266545, 11755675.441975862, 12451508.33829549, 13235578.35867852, 14120986.962068439, 15123619.481826663, 16262831.676915944, 17562350.379155874, 19051465.330048144, 20766622.39253539, 22753577.72380227, 25070347.50711149, 27791303.81942326, 31012950.061199963, 34862203.83126688, 39508500.45527732, 45181851.01050937, 52200416.13511443, 61013719.38289392, 72272389.30724108, 86944542.21957195, 106517595.39646924, 133364150.22006285, 171440908.67503262, 227709415.4719236, 315249884.9606216, 460750815.56190395, 724777042.3288336, 1265774262.9036865]"
